Rk,Wk,Winner,WPts,Loc,Loser,LPts
1,1,Georgia Tech,24,N,(10) Florida State,21
2,1,Montana State,35,@,New Mexico,31
3,1,Southern Methodist,29,@,Nevada,24
4,1,Hawaii,35,,Delaware State,14
5,2,Alabama-Birmingham,41,,Alcorn State,3
6,2,Arkansas,70,,Arkansas-Pine Bluff,0
7,2,Bowling Green,41,,Fordham,17
8,2,Buffalo,30,,Lafayette,13
9,2,Central Florida,57,,New Hampshire,3
10,2,Central Michigan,66,,Central Connecticut State,10
11,2,Coastal Carolina,55,@,Jacksonville State,27
12,2,Colorado,31,,North Dakota State,26
13,2,Illinois,45,,Eastern Illinois,0
14,2,(22) Kansas,48,,Lindenwood,3
15,2,Louisiana-Monroe,30,,Jackson State,14
16,2,(11) Missouri,51,,Murray State,0
17,2,North Carolina,19,@,Minnesota,17
18,2,(24) North Carolina State,38,,Western Carolina,21
19,2,Rutgers,44,,Howard,7
20,2,San Jose State,42,,Sacramento State,24
21,2,Toledo,49,,Duquesne,10
22,2,Tulane,52,,Southeastern Louisiana,0
23,2,Tulsa,62,,Northwestern State,28
24,2,(12) Utah,49,,Southern Utah,0
25,2,Wake Forest,45,,North Carolina A&T,13
26,2,Army,42,,Lehigh,7
27,2,Duke,26,,Elon,3
28,2,Michigan State,16,,Florida Atlantic,10
29,2,(16) Oklahoma,51,,Temple,3
30,2,Texas Christian,34,@,Stanford,27
31,2,Wisconsin,28,,Western Michigan,14
32,2,Air Force,21,,Merrimack,6
33,2,(5) Alabama,63,,Western Kentucky,0
34,2,Appalachian State,38,,East Tennessee State,10
35,2,(21) Arizona,61,,New Mexico,39
36,2,Arizona State,48,,Wyoming,7
37,2,Arkansas State,34,,Central Arkansas,31
38,2,Auburn,73,,Alabama A&M,3
39,2,Baylor,45,,Tarleton State,3
40,2,Boise State,56,@,Georgia Southern,45
41,2,Brigham Young,41,,Southern Illinois,13
42,2,California,31,,California-Davis,13
43,2,Cincinnati,38,,Towson,20
44,2,East Carolina,42,,Norfolk State,3
45,2,Eastern Michigan,28,@,Massachusetts,14
46,2,(1) Georgia,34,N,(14) Clemson,3
47,2,Georgia Tech,35,,Georgia State,12
48,2,Indiana,31,,Florida International,7
49,2,(25) Iowa,40,,Illinois State,0
50,2,Iowa State,21,,North Dakota,3
51,2,James Madison,30,@,Charlotte,7
52,2,(18) Kansas State,41,,Tennessee-Martin,6
53,2,Kentucky,31,,Southern Mississippi,0
54,2,Liberty,41,,Campbell,24
55,2,Louisiana,40,,Grambling State,10
56,2,Louisiana Tech,25,,Nicholls State,17
57,2,Louisville,62,,Austin Peay,0
58,2,Marshall,45,,Stony Brook,3
59,2,Maryland,50,,Connecticut,7
60,2,Memphis,40,,North Alabama,0
61,2,(19) Miami (FL),41,@,Florida,17
62,2,(9) Michigan,30,,Fresno State,10
63,2,Middle Tennessee State,32,,Tennessee Tech,25
64,2,(6) Mississippi,76,,Furman,0
65,2,Mississippi State,56,,Eastern Kentucky,7
66,2,Navy,49,,Bucknell,21
67,2,Nebraska,40,,Texas-El Paso,7
68,2,Nevada,28,@,Troy,26
69,2,Nevada-Las Vegas,27,@,Houston,7
70,2,New Mexico State,23,,Southeast Missouri State,16
71,2,North Texas,52,@,South Alabama,38
72,2,Northern Illinois,54,,Western Illinois,15
73,2,Northwestern,13,,Miami (OH),6
74,2,(7) Notre Dame,23,@,(20) Texas A&M,13
75,2,(2) Ohio State,52,,Akron,6
76,2,(17) Oklahoma State,44,,South Dakota State,20
77,2,(3) Oregon,24,,Idaho,14
78,2,Oregon State,38,,Idaho State,15
79,2,(8) Penn State,34,@,West Virginia,12
80,2,Pittsburgh,55,,Kent State,24
81,2,Purdue,49,,Indiana State,0
82,2,Sam Houston,34,@,Rice,14
83,2,San Diego State,45,,Texas A&M-Commerce,14
84,2,South Carolina,23,,Old Dominion,19
85,2,South Florida,48,,Bethune-Cookman,3
86,2,Southern Methodist,59,,Houston Baptist,7
87,2,Syracuse,38,,Ohio,22
88,2,(15) Tennessee,69,,Chattanooga,3
89,2,(4) Texas,52,,Colorado State,0
90,2,Texas State,34,,Lamar,27
91,2,Texas Tech,52,,Abilene Christian,51
92,2,Texas-San Antonio,28,,Kennesaw State,16
93,2,UCLA,16,@,Hawaii,13
94,2,Utah State,36,,Robert Morris,14
95,2,Vanderbilt,34,,Virginia Tech,27
96,2,Virginia,34,,Richmond,13
97,2,Washington,35,,Weber State,3
98,2,Washington State,70,,Portland State,30
99,2,(23) Southern California,27,N,(13) Louisiana State,20
100,2,Boston College,28,@,(10) Florida State,13
101,3,Brigham Young,18,@,Southern Methodist,15
102,3,Duke,26,@,Northwestern,20
103,3,Indiana,77,,Western Illinois,3
104,3,(4) Alabama,42,,South Florida,16
105,3,(20) Arizona,22,,Northern Arizona,10
106,3,Arizona State,30,,Mississippi State,23
107,3,Arkansas State,28,,Tulsa,24
108,3,Army,24,@,Florida Atlantic,7
109,3,Ball State,42,,Missouri State,34
110,3,Boston College,56,,Duquesne,0
111,3,California,21,@,Auburn,14
112,3,Central Florida,45,,Sam Houston,14
113,3,(25) Clemson,66,,Appalachian State,20
114,3,Coastal Carolina,40,,William & Mary,21
115,3,Colorado State,38,,Northern Colorado,17
116,3,Connecticut,63,,Merrimack,17
117,3,East Carolina,20,@,Old Dominion,14
118,3,Florida,45,,Samford,7
119,3,Florida International,52,,Central Michigan,16
120,3,Fresno State,46,,Sacramento State,30
121,3,(1) Georgia,48,,Tennessee Tech,3
122,3,Georgia Southern,20,@,Nevada,17
123,3,Georgia State,24,,Chattanooga,21
124,3,Idaho,17,@,Wyoming,13
125,3,Illinois,23,,(19) Kansas,17
126,3,Iowa State,20,@,(21) Iowa,19
127,3,James Madison,13,,Gardner-Webb,6
128,3,(17) Kansas State,34,@,Tulane,27
129,3,Liberty,30,@,New Mexico State,24
130,3,Louisiana,34,@,Kennesaw State,10
131,3,(18) Louisiana State,44,,Nicholls State,21
132,3,Louisiana-Monroe,32,,Alabama-Birmingham,6
133,3,(22) Louisville,49,,Jacksonville State,14
134,3,Memphis,38,,Troy,17
135,3,(12) Miami (FL),56,,Florida A&M,9
136,3,Michigan State,27,@,Maryland,24
137,3,Minnesota,48,,Rhode Island,0
138,3,(6) Mississippi,52,,Middle Tennessee State,3
139,3,(9) Missouri,38,,Buffalo,0
140,3,Navy,38,,Temple,11
141,3,Nebraska,28,,Colorado,10
142,3,Nevada-Las Vegas,72,,Utah Tech,14
143,3,North Carolina,38,,Charlotte,20
144,3,North Texas,35,,Stephen F. Austin,20
145,3,Northern Illinois,16,@,(5) Notre Dame,14
146,3,Ohio,27,,South Alabama,20
147,3,(2) Ohio State,56,,Western Michigan,0
148,3,(15) Oklahoma,16,,Houston,12
149,3,(16) Oklahoma State,39,,Arkansas,31
150,3,(7) Oregon,37,,Boise State,34
151,3,Oregon State,21,@,San Diego State,0
152,3,(8) Penn State,34,,Bowling Green,27
153,3,Pittsburgh,28,@,Cincinnati,27
154,3,Rice,69,,Texas Southern,7
155,3,Rutgers,49,,Akron,17
156,3,San Jose State,17,@,Air Force,7
157,3,South Carolina,31,@,Kentucky,6
158,3,(13) Southern California,48,,Utah State,0
159,3,Southern Mississippi,35,,Southeastern Louisiana,10
160,3,Southern Utah,27,@,Texas-El Paso,24
161,3,St. Francis (PA),23,@,Kent State,17
162,3,Stanford,41,,Cal Poly,7
163,3,Syracuse,31,,(23) Georgia Tech,28
164,3,(14) Tennessee,51,N,(24) North Carolina State,10
165,3,(3) Texas,31,@,(10) Michigan,12
166,3,Texas A&M,52,,McNeese State,10
167,3,Texas Christian,45,,Long Island,0
168,3,Texas State,49,,Texas-San Antonio,10
169,3,Toledo,38,,Massachusetts,23
170,3,(11) Utah,23,,Baylor,12
171,3,Vanderbilt,55,,Alcorn State,0
172,3,Virginia,31,@,Wake Forest,30
173,3,Virginia Tech,31,,Marshall,14
174,3,Washington,30,,Eastern Michigan,9
175,3,Washington State,37,,Texas Tech,16
176,3,West Virginia,49,,Albany,14
177,3,Western Kentucky,31,,Eastern Kentucky,0
178,3,Wisconsin,27,,South Dakota,13
179,4,Arizona State,31,@,Texas State,28
180,4,South Alabama,87,,Northwestern State,10
181,4,(14) Kansas State,31,,(20) Arizona,7
182,4,Nevada-Las Vegas,23,@,Kansas,20
183,4,Akron,31,,Colgate,20
184,4,(4) Alabama,42,@,Wisconsin,10
185,4,Appalachian State,21,@,East Carolina,19
186,4,Arkansas,37,,Alabama-Birmingham,27
187,4,Auburn,45,,New Mexico,19
188,4,Baylor,31,,Air Force,3
189,4,Brigham Young,34,@,Wyoming,14
190,4,Buffalo,34,,Massachusetts,3
191,4,California,31,,San Diego State,10
192,4,Central Florida,35,@,Texas Christian,34
193,4,Charlotte,27,,Gardner-Webb,26
194,4,Cincinnati,27,@,Miami (OH),16
195,4,Coastal Carolina,28,@,Temple,20
196,4,Colorado,28,@,Colorado State,9
197,4,Duke,26,,Connecticut,21
198,4,Eastern Michigan,37,,Jacksonville State,34
199,4,Florida Atlantic,38,,Florida International,20
200,4,Fresno State,48,,New Mexico State,0
201,4,(1) Georgia,13,@,Kentucky,12
202,4,Georgia Southern,42,,South Carolina State,14
203,4,Georgia State,36,,Vanderbilt,32
204,4,Georgia Tech,59,,Virginia Military Institute,7
205,4,Houston,33,,Rice,7
206,4,Illinois,30,,Central Michigan,9
207,4,Indiana,42,@,UCLA,13
